DADOS,,,,,,,,,,,,,
Titulo,Projeto 3 - Je2,,,,,,,,,,,,
Tipologia,Sobrado,,,,,,,,,,,,
Área Terreno,"500,00",,,,,,,,,,,,
Área Construída,"425,00",,,,,,,,,,,,
Área Fundação,"378,31",,,,,,,,,,,,
Área Fachada,"521,67",,,,,,,,,,,,
Área Parede,"581,76",,,,,,,,,,,,
Qtde BWCs,"6,00",,,,,,,,,,,,
,,,,,,,,,,,,,
TABELA DE ORÇAMENTO,,,,,,,,,,,,,
Item,Referência,Tipo,Código,Descrição,Unid.,Quantidade,BDI,Preço Material,,Preço Execução,,Preço,
3.4.2,MKS_COMPOSICOES,COMPOSICAO,CMP_REB-MUR,REBOCO DE MURO,M2,"341,63","0,0%"," R$  13,84 "," R$  4.728,16 "," R$  25,00 "," R$  8.540,75 "," R$  38,84 "," R$  13.268,91 "
3.4.3,MKS_COMPOSICOES,COMPOSICAO,CMP_PIN-MUR-TEX,TEXTURA ROLADA PARA MURO - BRANCA,M2,"341,82","0,0%"," R$  7,04 "," R$  2.405,39 "," R$  23,00 "," R$  7.861,86 "," R$  30,04 "," R$  10.267,25 "
4.,,,,COBERTURA,,,"0,0%",," R$  33.117,10 ",," R$  8.461,05 ",," R$  41.578,15 "
4.1.,,,,ESTRUTURA DE COBERTURA,,,"0,0%",," R$  20.633,57 ",," R$  8.461,05 ",," R$  29.094,62 "
4.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_COB-EST-TLD-SOB-FIB,ESTRUTURA DE TELHADO PARA SOBRADO COM FIBROCIMENTO,M2,"130,17","0,0%"," R$  158,51 "," R$  20.633,57 "," R$  65,00 "," R$  8.461,05 "," R$  223,51 "," R$  29.094,62 "
4.2.,,,,CALHAS E RUFOS,,,"0,0%",," R$  12.483,53 ",,,," R$  12.483,53 "
4.2.1,MKS_COMPOSICOES,COMPOSICAO,CMP_COB-CLH-RUF-BRC,CALHAS E RUFOS COM PINTURA ELETROSTATICA COR BRANCO,ML,"29,44","0,0%"," R$  121,66 "," R$  3.581,67 ",,," R$  121,66 "," R$  3.581,67 "
4.2.2,MKS_COMPOSICOES,COMPOSICAO,CMP_COB-CLH-RUF-BRC,CALHAS E RUFOS COM PINTURA ELETROSTATICA COR BRANCO,ML,"73,17","0,0%"," R$  121,66 "," R$  8.901,86 ",,," R$  121,66 "," R$  8.901,86 "
5.,,,,SUPRAESTRUTURA,,,"0,0%",," R$  225.973,66 ",," R$  109.316,30 ",," R$  335.289,96 "
5.1.,,,,ALVENARIA,,,"0,0%",," R$  78.065,68 ",," R$  46.540,80 ",," R$  124.606,48 "
5.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_SUP-ALV-VED-CER-014,ALVENARIA DE VEDACAO DE BLOCO CERAMICO 014,M2,"581,76","0,0%"," R$  134,19 "," R$  78.065,68 "," R$  80,00 "," R$  46.540,80 "," R$  214,19 "," R$  124.606,48 "
5.2.,,,,LAJES,,,"0,0%",," R$  119.675,57 ",," R$  47.687,00 ",," R$  167.362,57 "
5.2.1,MKS_COMPOSICOES,COMPOSICAO,CMP_SUP_LAJ-CON-TRL-012,CONCRETAGEM E DESFORMA - LAJE PRE FABRICADA TRELICADA,M2,"441,83","0,0%"," R$  265,31 "," R$  117.221,55 "," R$  100,00 "," R$  44.183,00 "," R$  365,31 "," R$  161.404,55 "
5.2.2,MKS_COMPOSICOES,COMPOSICAO,CMP_SUP_LAJ-IMP,IMPERMEABILIZACAO DE LAJE,M2,"35,04","0,0%"," R$  70,04 "," R$  2.454,03 "," R$  100,00 "," R$  3.504,00 "," R$  170,04 "," R$  5.958,03 "
5.3.,,,,VIGAS,,,"0,0%",," R$  9.564,81 ",," R$  4.543,50 ",," R$  14.108,31 "
5.3.1,MKS_COMPOSICOES,COMPOSICAO,CMP_INF-VIG-BRD-020X040,CONCRETAGEM E DESFORMA - VIGA DE BORDO; 20X40CM,ML,"90,87","0,0%"," R$  105,26 "," R$  9.564,81 "," R$  50,00 "," R$  4.543,50 "," R$  155,26 "," R$  14.108,31 "
5.4.,,,,PILARES,,,"0,0%",," R$  12.789,66 ",," R$  7.620,00 ",," R$  20.409,66 "
5.4.1,MKS_COMPOSICOES,COMPOSICAO,CMP_SUP-PIL-CCT-CIR-040,PILAR CIRCULAR EM CONCRETO DIAMETRO 40 CM,ML,"12,8","0,0%"," R$  503,53 "," R$  6.445,18 "," R$  300,00 "," R$  3.840,00 "," R$  803,53 "," R$  10.285,18 "
5.4.2,MKS_COMPOSICOES,COMPOSICAO,CMP_SUP-PIL-CCT-CIR-040,PILAR CIRCULAR EM CONCRETO DIAMETRO 40 CM,ML,"12,6","0,0%"," R$  503,53 "," R$  6.344,48 "," R$  300,00 "," R$  3.780,00 "," R$  803,53 "," R$  10.124,48 "
5.5.,,,,ESCADA,,,"0,0%",," R$  5.877,93 ",," R$  2.925,00 ",," R$  8.802,93 "
5.5.1,MKS_COMPOSICOES,COMPOSICAO,CMP_SUP_ESC-CCT-ARM,ESCADA EM CONCRETO ARMADO,ML,"4,22","0,0%"," R$  602,87 "," R$  2.544,09 "," R$  300,00 "," R$  1.266,00 "," R$  902,87 "," R$  3.810,09 "
5.5.2,MKS_COMPOSICOES,COMPOSICAO,CMP_SUP_ESC-CCT-ARM,ESCADA EM CONCRETO ARMADO,ML,"5,53","0,0%"," R$  602,87 "," R$  3.333,84 "," R$  300,00 "," R$  1.659,00 "," R$  902,87 "," R$  4.992,84 "
6.,,,,INSTALACOES ELETRICAS,,,"0,0%",," R$  40.672,50 ",," R$  19.975,00 ",," R$  60.647,50 "
6.1.,,,,"ELETRODUTOS, CAIXAS E CABOS",,,"0,0%",," R$  29.452,50 ",," R$  14.875,00 ",," R$  44.327,50 "
6.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_ELE-PAA,INSTALACOES ELETRICAS - PADRAO ALTO,M2,425,"0,0%"," R$  69,30 "," R$  29.452,50 "," R$  35,00 "," R$  14.875,00 "," R$  104,30 "," R$  44.327,50 "
6.2.,,,,ACABAMENTOS ELETRICOS,,,"0,0%",," R$  11.220,00 ",," R$  5.100,00 ",," R$  16.320,00 "
6.2.1,MKS_COMPOSICOES,COMPOSICAO,CMP_ELE-ACB-PAA,ACABAMENTOS ELETRICOS - PADRAO ALTO,M2,425,"0,0%"," R$  26,40 "," R$  11.220,00 "," R$  12,00 "," R$  5.100,00 "," R$  38,40 "," R$  16.320,00 "
7.,,,,INSTALACOES HIDROSSANITARIAS,,,"0,0%",," R$  71.407,50 ",," R$  15.955,00 ",," R$  87.362,50 "
7.1.,,,,HIDRAULICA E ESGOTO,,,"0,0%",," R$  39.737,50 ",," R$  14.875,00 ",," R$  54.612,50 "
7.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_HID-AFR-AQN-ESG,"INSTALACOES DE AGUA FRIA, AGUA QUENTE E ESGOTO",M2,425,"0,0%"," R$  93,50 "," R$  39.737,50 "," R$  35,00 "," R$  14.875,00 "," R$  128,50 "," R$  54.612,50 "
7.2.,,,,LOUCAS E METAIS,,,"0,0%",," R$  31.670,00 ",," R$  1.080,00 ",," R$  32.750,00 "
7.2.1,MKS_COMPOSICOES,COMPOSICAO,CMP_HIS-FQE-ACH-CAS-PAA,ACABAMENTOS HIDROSSANITARIOS NA COZINHA E AREA DE SERVICO - PADRAO ALTO,UN,1,"0,0%"," R$  680,00 "," R$  680,00 ",,," R$  680,00 "," R$  680,00 "
7.2.2,MKS_COMPOSICOES,COMPOSICAO,CMP_HIS-FQE-ACH-BWC-PAA,ACABAMENTOS HIDROSSANITARIOS NOS BANHEIROS - PADRAO ALTO,UN,6,"0,0%"," R$  5.165,00 "," R$  30.990,00 "," R$  180,00 "," R$  1.080,00 "," R$  5.345,00 "," R$  32.070,00 "
8.,,,,PISOS,,,"0,0%",," R$  101.694,15 ",," R$  51.867,09 ",," R$  153.561,24 "
8.1.,,,,CONTRAPISO,,,"0,0%",," R$  10.654,49 ",," R$  18.505,55 ",," R$  29.160,04 "
8.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_PIS-CNT-004,CONTRAPISO 4CM,M2,"528,73","0,0%"," R$  20,15 "," R$  10.654,49 "," R$  35,00 "," R$  18.505,55 "," R$  55,15 "," R$  29.160,04 "
8.2.,,,,REVESTIMENTO CERAMICO,,,"0,0%",," R$  46.131,65 ",," R$  20.522,84 ",," R$  66.654,49 "
8.2.1,MKS_COMPOSICOES,COMPOSICAO,CMP_PIS-RCR-PRC-090X090-MMR-RTF-PLD-INT-AUM,PORCELANATO; 90X90CM; TEXTURA MARMORE; RETIFICADO; POLIDO; REF. INCEPA; AREA UMIDA; COM IMPERMEABILIZACAO,M2,"60,62","0,0%"," R$  314,79 "," R$  19.082,38 "," R$  88,00 "," R$  5.334,56 "," R$  402,79 "," R$  24.416,94 "
8.2.2,MKS_COMPOSICOES,COMPOSICAO,CMP_PIS-RCR-PRC-060X060-BCL-RTF-ACT-EXT,PORCELANATO EXTERNO; 60X60CM; BEGE CLARO; RETIFICADO; ACETINADO; REF. INCEPA,M2,"220,12","0,0%"," R$  122,88 "," R$  27.049,27 "," R$  69,00 "," R$  15.188,28 "," R$  191,88 "," R$  42.237,55 "
8.3.,,,,SOLEIRAS DE PEDRA,,,"0,0%",," R$  3.055,35 ",," R$  2.573,10 ",," R$  5.628,45 "
8.3.1,MKS_COMPOSICOES,COMPOSICAO,CMP_SUP-SOL-PRT-GNT-PSG,SOLEIRA DE PORTA EM GRANITO PRETO SAO GABRIEL,ML,"49,72","0,0%"," R$  58,52 "," R$  2.909,61 "," R$  45,00 "," R$  2.237,40 "," R$  103,52 "," R$  5.147,01 "
8.3.2,MKS_COMPOSICOES,COMPOSICAO,CMP_SUP-SOL-BOX-GNT-CLR,SOLEIRAS DE BOX EM GRANITO DE TONALIDADE CLARA,ML,"7,46","0,0%"," R$  19,54 "," R$  145,73 "," R$  45,00 "," R$  335,70 "," R$  64,54 "," R$  481,43 "
8.4.,,,,PISO LAMINADO,,,"0,0%",," R$  20.064,71 ",," R$  8.678,00 ",," R$  28.742,71 "
8.4.1,MKS_COMPOSICOES,COMPOSICAO,CMP_PIS-LMN-ESC-RDP-EPS,PISO LAMINADO; TONALIDADE ESCURA; RODAPE EPS BRANCO; REF. DURAFLOOR,M2,"216,95","0,0%"," R$  92,49 "," R$  20.064,71 "," R$  40,00 "," R$  8.678,00 "," R$  132,49 "," R$  28.742,71 "
8.5.,,,,REVESTIMENTO DE ESCADA,,,"0,0%",," R$  21.787,96 ",," R$  1.587,60 ",," R$  23.375,56 "
8.5.1,MKS_COMPOSICOES,COMPOSICAO,CMP_SUP-REV-GRN-CLR-ESC,REVESTIMENTO DE ESCADA DE GRANITO TONALIDADE CLARA,M2,"7,73","0,0%"," R$  1.646,86 "," R$  12.730,23 "," R$  120,00 "," R$  927,60 "," R$  1.766,86 "," R$  13.657,83 "
8.5.2,MKS_COMPOSICOES,COMPOSICAO,CMP_SUP-REV-GRN-CLR-ESC,REVESTIMENTO DE ESCADA DE GRANITO TONALIDADE CLARA,M2,"5,5","0,0%"," R$  1.646,86 "," R$  9.057,73 "," R$  120,00 "," R$  660,00 "," R$  1.766,86 "," R$  9.717,73 "
9.,,,,PAREDES,,,"0,0%",," R$  106.967,84 ",," R$  52.768,73 ",," R$  159.736,57 "
9.1.,,,,CHAPISCO E REBOCO,,,"0,0%",," R$  32.949,34 ",," R$  30.565,25 ",," R$  63.514,59 "
9.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_PRD-RBC-1FC,RESTANTE REBOCO INTERNO,M2,"1222,61","0,0%"," R$  26,95 "," R$  32.949,34 "," R$  25,00 "," R$  30.565,25 "," R$  51,95 "," R$  63.514,59 "
9.2.,,,,REVESTIMENTOS PAREDES INTERNAS,,,"0,0%",," R$  43.291,58 ",," R$  14.055,48 ",," R$  57.347,06 "
9.2.1,MKS_COMPOSICOES,COMPOSICAO,CMP_RVP-INT-RVC-060X030-BRN-RTF-ACT,REVESTIMENTO CERAMICO DE PAREDE; 60X30CM; BRANCO; RETIFICADO; ACETINADO; REF. PORTINARI,M2,"16,3","0,0%"," R$  214,77 "," R$  3.500,75 "," R$  60,00 "," R$  978,00 "," R$  274,77 "," R$  4.478,75 "
9.2.2,MKS_COMPOSICOES,COMPOSICAO,CMP_RVP-INT-PRC-090X090-MMR-RTF-PLD,REVESTIMENTO CERAMICO DE PAREDE; 90X90CM; TEXTURA MARMORE; RETIFICADO; POLIDO; REF. INCEPA,M2,"112,77","0,0%"," R$  237,33 "," R$  26.763,76 "," R$  78,00 "," R$  8.796,06 "," R$  315,33 "," R$  35.559,82 "
9.2.3,MKS_COMPOSICOES,COMPOSICAO,CMP_RVP-INT-PRC-090X090-MMR-RTF-PLD,REVESTIMENTO CERAMICO DE PAREDE; 90X90CM; TEXTURA MARMORE; RETIFICADO; POLIDO; REF. INCEPA,M2,"54,89","0,0%"," R$  237,33 "," R$  13.027,07 "," R$  78,00 "," R$  4.281,42 "," R$  315,33 "," R$  17.308,49 "
9.3.,,,,REVESTIMENTOS PAREDES EXTERNAS,,,"0,0%",," R$  30.726,92 ",," R$  8.148,00 ",," R$  38.874,92 "
9.3.1,MKS_COMPOSICOES,COMPOSICAO,CMP_RVP-EXT-PST-015X015-BRC,PEDRA SAO TOME BRANCA 15X15CM NA FACHADA,M2,"81,48","0,0%"," R$  377,11 "," R$  30.726,92 "," R$  100,00 "," R$  8.148,00 "," R$  477,11 "," R$  38.874,92 "
10.,,,,FORROS,,,"0,0%",," R$  22.471,17 ",," R$  11.875,25 ",," R$  34.346,42 "
10.1.,,,,CHAPISCO E REBOCO,,,"0,0%",," R$  1.280,39 ",," R$  1.187,75 ",," R$  2.468,14 "
10.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_PRD-RBC-1FC,RESTANTE REBOCO INTERNO,M2,"47,51","0,0%"," R$  26,95 "," R$  1.280,39 "," R$  25,00 "," R$  1.187,75 "," R$  51,95 "," R$  2.468,14 "
10.2.,,,,FORROS INTERNOS,,,"0,0%",," R$  21.190,78 ",," R$  10.687,50 ",," R$  31.878,28 "
10.2.1,MKS_COMPOSICOES,COMPOSICAO,CMP_FOR-GES-OBR-TBC-INT,FORRO DE GESSO  EXECUTADO EM OBRA COM TABICA E CORTINEIRO,M2,"356,25","0,0%"," R$  59,06 "," R$  21.040,52 "," R$  30,00 "," R$  10.687,50 "," R$  89,06 "," R$  31.728,02 "
10.2.2,MKS_COMPOSICOES,COMPOSICAO,CMP_ESQ-MET-ALC-BRC-60X60,ALCAPAO METALICO BRANCO 60X60,UN,1,"0,0%"," R$  150,26 "," R$  150,26 ",,," R$  150,26 "," R$  150,26 "
11.,,,,ESQUADRIAS,,,"0,0%",," R$  105.823,99 ",," R$  1.800,00 ",," R$  107.623,99 "
11.1.,,,,ESQUADRIAS METALICAS,,,"0,0%",," R$  93.335,35 ",,,," R$  93.335,35 "
11.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_ESQ-MET-JNL-32-VL-M2,ESQUADRIA METALICA - JANELA LINHA 32 PRETA COM VIDRO LISO POR METRO QUADRADO,M2,"0,46","0,0%"," R$  825,00 "," R$  379,50 ",,," R$  825,00 "," R$  379,50 "
11.1.2,MKS_COMPOSICOES,COMPOSICAO,CMP_ESQ-MET-JNL-32-VL-M2,ESQUADRIA METALICA - JANELA LINHA 32 PRETA COM VIDRO LISO POR METRO QUADRADO,M2,"2,78","0,0%"," R$  825,00 "," R$  2.293,50 ",,," R$  825,00 "," R$  2.293,50 "
11.1.3,MKS_COMPOSICOES,COMPOSICAO,CMP_ESQ-MET-JNL-32-VL-M2,ESQUADRIA METALICA - JANELA LINHA 32 PRETA COM VIDRO LISO POR METRO QUADRADO,M2,"1,62","0,0%"," R$  825,00 "," R$  1.336,50 ",,," R$  825,00 "," R$  1.336,50 "
11.1.4,MKS_COMPOSICOES,COMPOSICAO,CMP_ESQ-MET-JNL-32-VL-M2,ESQUADRIA METALICA - JANELA LINHA 32 PRETA COM VIDRO LISO POR METRO QUADRADO,M2,"3,11","0,0%"," R$  825,00 "," R$  2.565,75 ",,," R$  825,00 "," R$  2.565,75 "
11.1.5,MKS_COMPOSICOES,COMPOSICAO,CMP_ESQ-MET-JNL-32-VL-M2,ESQUADRIA METALICA - JANELA LINHA 32 PRETA COM VIDRO LISO POR METRO QUADRADO,M2,"10,92","0,0%"," R$  825,00 "," R$  9.009,00 ",,," R$  825,00 "," R$  9.009,00 "
11.1.6,MKS_COMPOSICOES,COMPOSICAO,CMP_ESQ-MET-PJT-32-VL-M2,ESQUADRIA METALICA - PORTA JANELA LINHA 32 PRETA COM VIDRO LISO POR METRO QUADRADO,M2,"58,24","0,0%"," R$  1.085,00 "," R$  63.190,40 ",,," R$  1.085,00 "," R$  63.190,40 "
11.1.7,MKS_COMPOSICOES,COMPOSICAO,CMP_ESQ-MET-PJT-32-VL-M2,ESQUADRIA METALICA - PORTA JANELA LINHA 32 PRETA COM VIDRO LISO POR METRO QUADRADO,M2,"13,42","0,0%"," R$  1.085,00 "," R$  14.560,70 ",,," R$  1.085,00 "," R$  14.560,70 "
11.2.,,,,ESQUADRIAS DE MADEIRA,,,"0,0%",," R$  12.488,64 ",," R$  1.800,00 ",," R$  14.288,64 "
11.2.1,MKS_COMPOSICOES,COMPOSICAO,CMP_ESQ-PRT-MAD-070X210-BRC-SMO-CPR,PORTA INTERNA DE MADEIRA SEMI-OCA; 70X210CM; BRANCA; COM PROTECAO CONTRA UMIDADE,UN,5,"0,0%"," R$  809,42 "," R$  4.047,10 "," R$  150,00 "," R$  750,00 "," R$  959,42 "," R$  4.797,10 "
11.2.2,MKS_COMPOSICOES,COMPOSICAO,CMP_ESQ-PRT-MAD-080X210-BRC-SMO,PORTA INTERNA DE MADEIRA SEMI-OCA; 80X210CM; BRANCA,UN,5,"0,0%"," R$  834,42 "," R$  4.172,10 "," R$  150,00 "," R$  750,00 "," R$  984,42 "," R$  4.922,10 "
11.2.3,MKS_COMPOSICOES,COMPOSICAO,CMP_ESQ-PRT-MAD-080X210-BRC-MMC-CFR,PORTA EXTERNA DE MADEIRA MACICA; 80X210CM; BRANCA,UN,1,"0,0%"," R$  2.134,72 "," R$  2.134,72 "," R$  150,00 "," R$  150,00 "," R$  2.284,72 "," R$  2.284,72 "
11.2.4,MKS_COMPOSICOES,COMPOSICAO,CMP_ESQ-PRT-MAD-080X210-BRC-MMC-CFR,PORTA EXTERNA DE MADEIRA MACICA; 80X210CM; BRANCA,UN,1,"0,0%"," R$  2.134,72 "," R$  2.134,72 "," R$  150,00 "," R$  150,00 "," R$  2.284,72 "," R$  2.284,72 "
12.,,,,PINTURAS,,,"0,0%",," R$  13.099,09 ",," R$  33.535,32 ",," R$  46.634,41 "
12.1.,,,,PINTURAS INTERNAS,,,"0,0%",," R$  9.153,66 ",," R$  21.210,00 ",," R$  30.363,66 "
12.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_PNT-INT-BRC-ACR,PINTURA ACRILICA FOSCA; BRANCO NEVE,M2,"356,3","0,0%"," R$  9,99 "," R$  3.558,21 "," R$  25,00 "," R$  8.907,50 "," R$  34,99 "," R$  12.465,71 "
