DADOS,,,,,,,,,,,,,
Titulo,Projeto 2 - Ca,,,,,,,,,,,,
Tipologia,Sobrado,,,,,,,,,,,,
Área Terreno,"300,00",,,,,,,,,,,,
Área Construída,"249,24",,,,,,,,,,,,
Área Fundação,"161,55",,,,,,,,,,,,
Área Fachada,"747,17",,,,,,,,,,,,
Área Parede,"662,06",,,,,,,,,,,,
Qtde BWCs,"4,00",,,,,,,,,,,,
,,,,,,,,,,,,,
TABELA DE ORÇAMENTO,,,,,,,,,,,,,
Item,Referência,Tipo,Código,Descrição,Unid.,Quantidade,BDI,Preço Material,,Preço Execução,,Preço,
2.,,,,SERVICOS PRELIMINARES E GERAIS,,,"0,0%",," R$  10.087,20 ",," R$  29.360,00 ",," R$  39.447,20 "
2.1.,,,,TERRENO,,,"0,0%",,,," R$  3.360,00 ",," R$  3.360,00 "
2.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_TRN-LPZ-CTT,LIMPEZA DA CAMADA VEGETAL DO LOTE,M2,300,"0,0%",,," R$  11,20 "," R$  3.360,00 "," R$  11,20 "," R$  3.360,00 "
2.2.,,,,CANTEIRO DE OBRAS,,,"0,0%",," R$  2.160,00 ",," R$  21.420,00 ",," R$  23.580,00 "
2.2.1,MKS_COMPOSICOES,COMPOSICAO,CMP_CTO-CSM-H20,CONSUMO DE AGUA DURANTE A OBRA,VB,"3,6","0,0%"," R$  200,00 "," R$  720,00 ",,," R$  200,00 "," R$  720,00 "
2.2.2,MKS_COMPOSICOES,COMPOSICAO,CMP_CTO-CSM-ELE,CONSUMO DE ENERGIA DURANTE A OBRA,VB,"3,6","0,0%"," R$  400,00 "," R$  1.440,00 ",,," R$  400,00 "," R$  1.440,00 "
2.2.3,MKS_COMPOSICOES,COMPOSICAO,CMP_CTO-BWC-PRV,BANHEIRO PROVISORIO,VB,"3,6","0,0%",,," R$  1.500,00 "," R$  5.400,00 "," R$  1.500,00 "," R$  5.400,00 "
2.2.4,MKS_COMPOSICOES,COMPOSICAO,CMP_CTO-CCB-GRS,CACAMBAS E GESTAO DE RESIDUOS,VB,"3,6","0,0%",,," R$  1.250,00 "," R$  4.500,00 "," R$  1.250,00 "," R$  4.500,00 "
2.2.5,MKS_COMPOSICOES,COMPOSICAO,CMP_CTO-CON-MTR,CONTAINER PARA MATERIAL,VB,"3,6","0,0%",,," R$  1.200,00 "," R$  4.320,00 "," R$  1.200,00 "," R$  4.320,00 "
2.2.6,MKS_COMPOSICOES,COMPOSICAO,CMP_CTO-EPI-5PS,EPI E PEC PARA TIME DE 5 PESSOAS,VB,"3,6","0,0%",,," R$  2.000,00 "," R$  7.200,00 "," R$  2.000,00 "," R$  7.200,00 "
2.3.,,,,TAPUMES,,,"0,0%",," R$  7.627,20 ",," R$  880,00 ",," R$  8.507,20 "
2.3.1,MKS_COMPOSICOES,COMPOSICAO,CMP_CTO-TPM,INSTALACAO DE TAPUME,ML,80,"0,0%"," R$  95,34 "," R$  7.627,20 "," R$  11,00 "," R$  880,00 "," R$  106,34 "," R$  8.507,20 "
2.4.,,,,PLACA DE OBRA,,,"0,0%",," R$  300,00 ",,,," R$  300,00 "
2.4.1,MKS_COMPOSICOES,COMPOSICAO,CMP_CTO-INS-PLO,INSTALACAO DE PLACA DE OBRA,VB,1,"0,0%"," R$  300,00 "," R$  300,00 ",,," R$  300,00 "," R$  300,00 "
2.5.,,,,CONDICOES DE ACESSO,,,"0,0%",,,," R$  3.600,00 ",," R$  3.600,00 "
2.5.1,MKS_COMPOSICOES,COMPOSICAO,CMP_CTO-CDA-EQM,CONDICAO DE ACESSO DE EQUIPAMENTOS E MATERIAIS,VB,"1,8","0,0%",,," R$  2.000,00 "," R$  3.600,00 "," R$  2.000,00 "," R$  3.600,00 "
2.6.,,,,"INSTALACOES ELETRICA, HIDRAULICA, ESGOTO E AGUAS PLUVIAIS",,,"0,0%",,,," R$  100,00 ",," R$  100,00 "
2.6.1,MKS_COMPOSICOES,COMPOSICAO,CMP_INS-PRV,INSTALACOES PROVISORIAS DE AGUA E ENERGIA,VB,1,"0,0%",,," R$  100,00 "," R$  100,00 "," R$  100,00 "," R$  100,00 "
3.,,,,INFRAESTRUTURA,,,"0,0%",," R$  71.362,18 ",," R$  44.238,50 ",," R$  115.600,68 "
3.1.,,,,LIGACOES DE INFRAESTRUTURA,,,"0,0%",," R$  14.500,00 ",," R$  8.750,00 ",," R$  23.250,00 "
3.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_LIG-INF-CDM-MTS,LIGACOES ELETRICAS E HIDROSSANITARIAS EM CONDOMINIO - METRO QUADRADO,M2,250,"0,0%"," R$  44,00 "," R$  11.000,00 "," R$  35,00 "," R$  8.750,00 "," R$  79,00 "," R$  19.750,00 "
3.1.2,MKS_COMPOSICOES,COMPOSICAO,CMP_LIG-INF-CDM-UNI,LIGACOES ELETRICAS E HIDROSSANITARIAS EM CONDOMINIO - UNITARIO,VB,1,"0,0%"," R$  3.500,00 "," R$  3.500,00 ",,," R$  3.500,00 "," R$  3.500,00 "
3.2.,,,,FUNDACAO SUPERFICIAL,,,"0,0%",," R$  20.276,74 ",," R$  13.731,75 ",," R$  34.008,49 "
3.2.1,MKS_COMPOSICOES,COMPOSICAO,CMP_INF-FUN-012-RAD-FIB,CONCRETAGEM DE FUNDACAO DE RADIER COM FIBRA DE ACO,M2,"161,55","0,0%"," R$  125,51 "," R$  20.276,74 "," R$  85,00 "," R$  13.731,75 "," R$  210,51 "," R$  34.008,49 "
3.3.,,,,MUROS,,,"0,0%",," R$  20.285,44 ",," R$  21.756,75 ",," R$  42.042,19 "
3.3.1,MKS_COMPOSICOES,COMPOSICAO,CMP_MUR-BLA-260,"MURO DE BLOCO APARENTE; H2,6M",ML,"44,28","0,0%"," R$  356,02 "," R$  15.764,37 "," R$  260,00 "," R$  11.512,80 "," R$  616,02 "," R$  27.277,17 "
3.3.2,MKS_COMPOSICOES,COMPOSICAO,CMP_REB-MUR,REBOCO DE MURO,M2,"224,01","0,0%"," R$  13,84 "," R$  3.100,30 "," R$  25,00 "," R$  5.600,25 "," R$  38,84 "," R$  8.700,55 "
3.3.3,MKS_COMPOSICOES,COMPOSICAO,CMP_PIN-MUR-TEX,TEXTURA ROLADA PARA MURO - BRANCA,M2,"6,83","0,0%"," R$  7,04 "," R$  48,06 "," R$  23,00 "," R$  157,09 "," R$  30,04 "," R$  205,15 "
3.3.4,MKS_COMPOSICOES,COMPOSICAO,CMP_PIN-MUR-TEX,TEXTURA ROLADA PARA MURO - BRANCA,M2,"193,28","0,0%"," R$  7,04 "," R$  1.360,11 "," R$  23,00 "," R$  4.445,44 "," R$  30,04 "," R$  5.805,55 "
3.3.5,MKS_COMPOSICOES,COMPOSICAO,CMP_PIN-MUR-TEX,TEXTURA ROLADA PARA MURO - BRANCA,M2,"1,79","0,0%"," R$  7,04 "," R$  12,60 "," R$  23,00 "," R$  41,17 "," R$  30,04 "," R$  53,77 "
3.4.,,,,PORTOES,,,"0,0%",," R$  16.300,00 ",,,," R$  16.300,00 "
3.4.1,MKS_COMPOSICOES,COMPOSICAO,CMP_INF-PRT-220-PED-ABR,"PORTAO DE PEDESTRE; ABRIR; H2,2M",UN,"1,3","0,0%"," R$  2.200,00 "," R$  2.860,00 ",,," R$  2.200,00 "," R$  2.860,00 "
3.4.2,MKS_COMPOSICOES,COMPOSICAO,CMP_INF-PRT-420-VEI-BSC,"PORTAO DE VEICULO BASCULANTE 4,2M H2,4M",UN,1,"0,0%"," R$  13.440,00 "," R$  13.440,00 ",,," R$  13.440,00 "," R$  13.440,00 "
4.,,,,COBERTURA,,,"0,0%",," R$  43.570,02 ",," R$  8.284,90 ",," R$  51.854,92 "
4.1.,,,,ESTRUTURA DE COBERTURA,,,"0,0%",," R$  20.204,00 ",," R$  8.284,90 ",," R$  28.488,90 "
4.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_COB-EST-TLD-SOB-FIB,ESTRUTURA DE TELHADO PARA SOBRADO COM FIBROCIMENTO,M2,"127,46","0,0%"," R$  158,51 "," R$  20.204,00 "," R$  65,00 "," R$  8.284,90 "," R$  223,51 "," R$  28.488,90 "
4.2.,,,,CALHAS E RUFOS,,,"0,0%",," R$  23.366,02 ",,,," R$  23.366,02 "
4.2.1,MKS_COMPOSICOES,COMPOSICAO,CMP_COB-CLH-RUF-BRC,CALHAS E RUFOS COM PINTURA ELETROSTATICA COR BRANCO,ML,"35,89","0,0%"," R$  121,66 "," R$  4.366,38 ",,," R$  121,66 "," R$  4.366,38 "
4.2.2,MKS_COMPOSICOES,COMPOSICAO,CMP_COB-CLH-RUF-BRC,CALHAS E RUFOS COM PINTURA ELETROSTATICA COR BRANCO,ML,"3,79","0,0%"," R$  121,66 "," R$  461,09 ",,," R$  121,66 "," R$  461,09 "
4.2.3,MKS_COMPOSICOES,COMPOSICAO,CMP_COB-CLH-RUF-BRC,CALHAS E RUFOS COM PINTURA ELETROSTATICA COR BRANCO,ML,"3,79","0,0%"," R$  121,66 "," R$  461,09 ",,," R$  121,66 "," R$  461,09 "
4.2.4,MKS_COMPOSICOES,COMPOSICAO,CMP_COB-CLH-RUF-BRC,CALHAS E RUFOS COM PINTURA ELETROSTATICA COR BRANCO,ML,"7,66","0,0%"," R$  121,66 "," R$  931,92 ",,," R$  121,66 "," R$  931,92 "
4.2.5,MKS_COMPOSICOES,COMPOSICAO,CMP_COB-CLH-RUF-BRC,CALHAS E RUFOS COM PINTURA ELETROSTATICA COR BRANCO,ML,"17,54","0,0%"," R$  121,66 "," R$  2.133,92 ",,," R$  121,66 "," R$  2.133,92 "
4.2.6,MKS_COMPOSICOES,COMPOSICAO,CMP_COB-CLH-RUF-BRC,CALHAS E RUFOS COM PINTURA ELETROSTATICA COR BRANCO,ML,"34,54","0,0%"," R$  121,66 "," R$  4.202,14 ",,," R$  121,66 "," R$  4.202,14 "
4.2.7,MKS_COMPOSICOES,COMPOSICAO,CMP_COB-CLH-RUF-BRC,CALHAS E RUFOS COM PINTURA ELETROSTATICA COR BRANCO,ML,"53,66","0,0%"," R$  121,66 "," R$  6.528,28 ",,," R$  121,66 "," R$  6.528,28 "
4.2.8,MKS_COMPOSICOES,COMPOSICAO,CMP_COB-CLH-RUF-BRC,CALHAS E RUFOS COM PINTURA ELETROSTATICA COR BRANCO,ML,"35,19","0,0%"," R$  121,66 "," R$  4.281,22 ",,," R$  121,66 "," R$  4.281,22 "
5.,,,,SUPRAESTRUTURA,,,"0,0%",," R$  148.080,79 ",," R$  81.194,75 ",," R$  229.275,54 "
5.1.,,,,ALVENARIA,,,"0,0%",," R$  80.364,65 ",," R$  52.964,80 ",," R$  133.329,45 "
5.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_SUP-ALV-VED-CER-014,ALVENARIA DE VEDACAO DE BLOCO CERAMICO 014,M2,"180,83","0,0%"," R$  134,19 "," R$  24.265,36 "," R$  80,00 "," R$  14.466,40 "," R$  214,19 "," R$  38.731,76 "
5.1.2,MKS_COMPOSICOES,COMPOSICAO,CMP_SUP-ALV-VED-CER-009,ALVENARIA DE VEDACAO DE BLOCO CERAMICO 009,M2,"481,23","0,0%"," R$  116,57 "," R$  56.099,29 "," R$  80,00 "," R$  38.498,40 "," R$  196,57 "," R$  94.597,69 "
5.2.,,,,LAJES,,,"0,0%",," R$  63.887,12 ",," R$  26.347,45 ",," R$  90.234,57 "
5.2.1,MKS_COMPOSICOES,COMPOSICAO,CMP_SUP_LAJ-CON-TRL-012,CONCRETAGEM E DESFORMA - LAJE PRE FABRICADA TRELICADA,M2,"207,94","0,0%"," R$  265,31 "," R$  55.168,39 "," R$  100,00 "," R$  20.794,00 "," R$  365,31 "," R$  75.962,39 "
5.2.2,MKS_COMPOSICOES,COMPOSICAO,CMP_SUP_LAJ-CON-TRL-012-INC,CONCRETAGEM E DESFORMA - LAJE PRE FABRICADA TRELICADA INCLINADA ATE 2 POR CENTO,M2,"27,09","0,0%"," R$  321,84 "," R$  8.718,74 "," R$  205,00 "," R$  5.553,45 "," R$  526,84 "," R$  14.272,19 "
5.3.,,,,VIGAS,,,"0,0%",," R$  1.013,64 ",," R$  481,50 ",," R$  1.495,14 "
5.3.1,MKS_COMPOSICOES,COMPOSICAO,CMP_INF-VIG-BRD-020X040,CONCRETAGEM E DESFORMA - VIGA DE BORDO; 20X40CM,ML,"9,63","0,0%"," R$  105,26 "," R$  1.013,64 "," R$  50,00 "," R$  481,50 "," R$  155,26 "," R$  1.495,14 "
5.4.,,,,ESCADA,,,"0,0%",," R$  2.815,38 ",," R$  1.401,00 ",," R$  4.216,38 "
5.4.1,MKS_COMPOSICOES,COMPOSICAO,CMP_SUP_ESC-CCT-ARM,ESCADA EM CONCRETO ARMADO,ML,"4,67","0,0%"," R$  602,87 "," R$  2.815,38 "," R$  300,00 "," R$  1.401,00 "," R$  902,87 "," R$  4.216,38 "
6.,,,,INSTALACOES ELETRICAS,,,"0,0%",," R$  23.925,00 ",," R$  11.750,00 ",," R$  35.675,00 "
6.1.,,,,"ELETRODUTOS, CAIXAS E CABOS",,,"0,0%",," R$  17.325,00 ",," R$  8.750,00 ",," R$  26.075,00 "
6.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_ELE-PAA,INSTALACOES ELETRICAS - PADRAO ALTO,M2,250,"0,0%"," R$  69,30 "," R$  17.325,00 "," R$  35,00 "," R$  8.750,00 "," R$  104,30 "," R$  26.075,00 "
6.2.,,,,ACABAMENTOS ELETRICOS,,,"0,0%",," R$  6.600,00 ",," R$  3.000,00 ",," R$  9.600,00 "
6.2.1,MKS_COMPOSICOES,COMPOSICAO,CMP_ELE-ACB-PAA,ACABAMENTOS ELETRICOS - PADRAO ALTO,M2,250,"0,0%"," R$  26,40 "," R$  6.600,00 "," R$  12,00 "," R$  3.000,00 "," R$  38,40 "," R$  9.600,00 "
7.,,,,INSTALACOES HIDROSSANITARIAS,,,"0,0%",," R$  45.395,00 ",," R$  9.470,00 ",," R$  54.865,00 "
7.1.,,,,HIDRAULICA E ESGOTO,,,"0,0%",," R$  23.375,00 ",," R$  8.750,00 ",," R$  32.125,00 "
7.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_HID-AFR-AQN-ESG,"INSTALACOES DE AGUA FRIA, AGUA QUENTE E ESGOTO",M2,250,"0,0%"," R$  93,50 "," R$  23.375,00 "," R$  35,00 "," R$  8.750,00 "," R$  128,50 "," R$  32.125,00 "
7.2.,,,,LOUCAS E METAIS,,,"0,0%",," R$  22.020,00 ",," R$  720,00 ",," R$  22.740,00 "
7.2.1,MKS_COMPOSICOES,COMPOSICAO,CMP_HIS-FQE-ACH-CAS-PAA,ACABAMENTOS HIDROSSANITARIOS NA COZINHA E AREA DE SERVICO - PADRAO ALTO,UN,2,"0,0%"," R$  680,00 "," R$  1.360,00 ",,," R$  680,00 "," R$  1.360,00 "
7.2.2,MKS_COMPOSICOES,COMPOSICAO,CMP_HIS-FQE-ACH-BWC-PAA,ACABAMENTOS HIDROSSANITARIOS NOS BANHEIROS - PADRAO ALTO,UN,4,"0,0%"," R$  5.165,00 "," R$  20.660,00 "," R$  180,00 "," R$  720,00 "," R$  5.345,00 "," R$  21.380,00 "
8.,,,,PISOS,,,"0,0%",," R$  51.072,82 ",," R$  21.868,01 ",," R$  72.940,83 "
8.1.,,,,CONTRAPISO,,,"0,0%",," R$  4.412,28 ",," R$  7.663,60 ",," R$  12.075,88 "
8.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_PIS-CNT-004,CONTRAPISO 4CM,M2,"218,96","0,0%"," R$  20,15 "," R$  4.412,28 "," R$  35,00 "," R$  7.663,60 "," R$  55,15 "," R$  12.075,88 "
8.2.,,,,REVESTIMENTO CERAMICO,,,"0,0%",," R$  27.003,86 ",," R$  8.058,21 ",," R$  35.062,07 "
8.2.1,MKS_COMPOSICOES,COMPOSICAO,CMP_PIS-RCR-PRC-060X060-CCL-RTF-ACT-INT,PORCELANATO; 60X60CM; CINZA CLARO; RETIFICADO; ACETINADO; REF. INCEPA; AREA SECA,M2,"8,94","0,0%"," R$  132,25 "," R$  1.182,32 "," R$  79,00 "," R$  706,26 "," R$  211,25 "," R$  1.888,58 "
8.2.2,MKS_COMPOSICOES,COMPOSICAO,CMP_PIS-RCR-PRC-060X060-CCL-RTF-ACT-INT-AUM,PORCELANATO; 60X60CM; CINZA CLARO; RETIFICADO; ACETINADO; REF. INCEPA; AREA UMIDA; COM IMPERMEABILIZACAO,M2,"29,22","0,0%"," R$  183,26 "," R$  5.354,95 "," R$  69,00 "," R$  2.016,18 "," R$  252,26 "," R$  7.371,13 "
8.2.3,MKS_COMPOSICOES,COMPOSICAO,CMP_PIS-RCR-PRC-060X060-CCL-RTF-ACT-EXT,PORCELANATO EXTERNO; 60X60CM; CINZA CLARO; RETIFICADO; ACETINADO; REF. INCEPA; AREA UMIDA; COM IMPERMEABILIZACAO,M2,"77,33","0,0%"," R$  264,67 "," R$  20.466,58 "," R$  69,00 "," R$  5.335,77 "," R$  333,67 "," R$  25.802,35 "
8.3.,,,,SOLEIRAS DE PEDRA,,,"0,0%",," R$  1.749,06 ",," R$  1.445,40 ",," R$  3.194,46 "
8.3.1,MKS_COMPOSICOES,COMPOSICAO,CMP_SUP-SOL-PRT-GNT-PSG,SOLEIRA DE PORTA EM GRANITO PRETO SAO GABRIEL,ML,"8,41","0,0%"," R$  58,52 "," R$  492,15 "," R$  45,00 "," R$  378,45 "," R$  103,52 "," R$  870,60 "
8.3.2,MKS_COMPOSICOES,COMPOSICAO,CMP_SUP-SOL-PRT-GNT-PSG,SOLEIRA DE PORTA EM GRANITO PRETO SAO GABRIEL,ML,"20,36","0,0%"," R$  58,52 "," R$  1.191,47 "," R$  45,00 "," R$  916,20 "," R$  103,52 "," R$  2.107,67 "
8.3.3,MKS_COMPOSICOES,COMPOSICAO,CMP_SUP-SOL-BOX-GNT-CLR,SOLEIRAS DE BOX EM GRANITO DE TONALIDADE CLARA,ML,"3,35","0,0%"," R$  19,54 "," R$  65,44 "," R$  45,00 "," R$  150,75 "," R$  64,54 "," R$  216,19 "
8.4.,,,,PISO LAMINADO,,,"0,0%",," R$  9.442,76 ",," R$  4.084,00 ",," R$  13.526,76 "
8.4.1,MKS_COMPOSICOES,COMPOSICAO,CMP_PIS-LMN-CLR-RDP-EPS,PISO LAMINADO; TONALIDADE CLARA; RODAPE EPS BRANCO; REF. DURAFLOOR,M2,"102,1","0,0%"," R$  92,49 "," R$  9.442,76 "," R$  40,00 "," R$  4.084,00 "," R$  132,49 "," R$  13.526,76 "
8.5.,,,,REVESTIMENTO DE ESCADA,,,"0,0%",," R$  8.464,86 ",," R$  616,80 ",," R$  9.081,66 "
8.5.1,MKS_COMPOSICOES,COMPOSICAO,CMP_SUP-REV-GRN-CLR-ESC,REVESTIMENTO DE ESCADA DE GRANITO TONALIDADE CLARA,M2,"5,14","0,0%"," R$  1.646,86 "," R$  8.464,86 "," R$  120,00 "," R$  616,80 "," R$  1.766,86 "," R$  9.081,66 "
9.,,,,PAREDES,,,"0,0%",," R$  57.225,74 ",," R$  41.779,83 ",," R$  99.005,57 "
9.1.,,,,CHAPISCO E REBOCO,,,"0,0%",," R$  33.724,96 ",," R$  31.284,75 ",," R$  65.009,71 "
9.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_PRD-RBC-1FC,RESTANTE REBOCO INTERNO,M2,"1251,39","0,0%"," R$  26,95 "," R$  33.724,96 "," R$  25,00 "," R$  31.284,75 "," R$  51,95 "," R$  65.009,71 "
9.2.,,,,REVESTIMENTOS PAREDES INTERNAS,,,"0,0%",," R$  18.517,91 ",," R$  7.981,08 ",," R$  26.498,99 "
9.2.1,MKS_COMPOSICOES,COMPOSICAO,CMP_RVP-INT-RVC-060X030-BRN-RTF-ACT,REVESTIMENTO CERAMICO DE PAREDE; 60X30CM; BRANCO; RETIFICADO; ACETINADO; REF. PORTINARI,M2,"20,41","0,0%"," R$  214,77 "," R$  4.383,46 "," R$  60,00 "," R$  1.224,60 "," R$  274,77 "," R$  5.608,06 "
9.2.2,MKS_COMPOSICOES,COMPOSICAO,CMP_RVP-INT-RVC-060X030-BRN-RTF-ACT,REVESTIMENTO CERAMICO DE PAREDE; 60X30CM; BRANCO; RETIFICADO; ACETINADO; REF. PORTINARI,M2,"27,14","0,0%"," R$  214,77 "," R$  5.828,86 "," R$  60,00 "," R$  1.628,40 "," R$  274,77 "," R$  7.457,26 "
9.2.3,MKS_COMPOSICOES,COMPOSICAO,CMP_RVP-INT-PRC-060X060-CCL-RTF-ACT,REVESTIMENTO CERAMICO DE PAREDE; 60X60CM; CINCA CLARO; RETIFICADO; ACETINADO; REF. INCEPA,M2,"47,11","0,0%"," R$  111,75 "," R$  5.264,75 "," R$  69,00 "," R$  3.250,59 "," R$  180,75 "," R$  8.515,34 "
9.2.4,MKS_COMPOSICOES,COMPOSICAO,CMP_RVP-INT-PRC-060X060-CCL-RTF-ACT,REVESTIMENTO CERAMICO DE PAREDE; 60X60CM; CINCA CLARO; RETIFICADO; ACETINADO; REF. INCEPA,M2,"27,21","0,0%"," R$  111,75 "," R$  3.040,84 "," R$  69,00 "," R$  1.877,49 "," R$  180,75 "," R$  4.918,33 "
9.3.,,,,REVESTIMENTOS PAREDES EXTERNAS,,,"0,0%",," R$  4.982,87 ",," R$  2.514,00 ",," R$  7.496,87 "
9.3.1,MKS_COMPOSICOES,COMPOSICAO,CMP_RVP-EXT-PRC-120X020-MAD-RET-ACT,"PORCELANATO MADEIRA NA FACHADA. REF. INCEPA, PP ARBOL CARVALHO, 120X20CM",M2,"25,14","0,0%"," R$  198,21 "," R$  4.982,87 "," R$  100,00 "," R$  2.514,00 "," R$  298,21 "," R$  7.496,87 "
10.,,,,FORROS,,,"0,0%",," R$  11.700,48 ",," R$  6.487,20 ",," R$  18.187,68 "
10.1.,,,,CHAPISCO E REBOCO,,,"0,0%",," R$  1.477,94 ",," R$  1.371,00 ",," R$  2.848,94 "
10.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_PRD-RBC-1FC,RESTANTE REBOCO INTERNO,M2,"54,84","0,0%"," R$  26,95 "," R$  1.477,94 "," R$  25,00 "," R$  1.371,00 "," R$  51,95 "," R$  2.848,94 "
10.2.,,,,FORROS INTERNOS,,,"0,0%",," R$  10.222,54 ",," R$  5.116,20 ",," R$  15.338,74 "
10.2.1,MKS_COMPOSICOES,COMPOSICAO,CMP_FOR-GES-OBR-TBC-INT,FORRO DE GESSO  EXECUTADO EM OBRA COM TABICA E CORTINEIRO,M2,"170,54","0,0%"," R$  59,06 "," R$  10.072,28 "," R$  30,00 "," R$  5.116,20 "," R$  89,06 "," R$  15.188,48 "
10.2.2,MKS_COMPOSICOES,COMPOSICAO,CMP_ESQ-MET-ALC-BRC-60X60,ALCAPAO METALICO BRANCO 60X60,UN,1,"0,0%"," R$  150,26 "," R$  150,26 ",,," R$  150,26 "," R$  150,26 "
11.,,,,ESQUADRIAS,,,"0,0%",," R$  36.440,14 ",," R$  1.970,00 ",," R$  38.410,14 "
11.1.,,,,ESQUADRIAS METALICAS,,,"0,0%",," R$  23.651,50 ",,,," R$  23.651,50 "
11.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_AAB-AB-16-LS_060X060,PORTA EM ALUMINIO BRANCO UMA FOLHA DE ABRIR - 60 X 60,UN,1,"0,0%"," R$  540,00 "," R$  540,00 ",,," R$  540,00 "," R$  540,00 "
11.1.2,MKS_COMPOSICOES,COMPOSICAO,CMP_ESQ-MET-JNL-32-VL-M2,ESQUADRIA METALICA - JANELA LINHA 32 PRETA COM VIDRO LISO POR METRO QUADRADO,M2,"1,2","0,0%"," R$  825,00 "," R$  990,00 ",,," R$  825,00 "," R$  990,00 "
11.1.3,MKS_COMPOSICOES,COMPOSICAO,CMP_ESQ-MET-JNL-32-VL-M2,ESQUADRIA METALICA - JANELA LINHA 32 PRETA COM VIDRO LISO POR METRO QUADRADO,M2,"1,04","0,0%"," R$  825,00 "," R$  858,00 ",,," R$  825,00 "," R$  858,00 "
11.1.4,MKS_COMPOSICOES,COMPOSICAO,CMP_ESQ-MET-JNL-32-VL-M2,ESQUADRIA METALICA - JANELA LINHA 32 PRETA COM VIDRO LISO POR METRO QUADRADO,M2,"3,94","0,0%"," R$  825,00 "," R$  3.250,50 ",,," R$  825,00 "," R$  3.250,50 "
11.1.5,MKS_COMPOSICOES,COMPOSICAO,CMP_ESQ-MET-JNL-32-VL-M2,ESQUADRIA METALICA - JANELA LINHA 32 PRETA COM VIDRO LISO POR METRO QUADRADO,M2,8,"0,0%"," R$  825,00 "," R$  6.600,00 ",,," R$  825,00 "," R$  6.600,00 "
11.1.6,MKS_COMPOSICOES,COMPOSICAO,CMP_ESQ-MET-JNL-32-VL-M2,ESQUADRIA METALICA - JANELA LINHA 32 PRETA COM VIDRO LISO POR METRO QUADRADO,M2,"10,44","0,0%"," R$  825,00 "," R$  8.613,00 ",,," R$  825,00 "," R$  8.613,00 "
